term_str,n,p,i,n_chars,max_pos,n_pos,stem_porter,stem_snowball,stem_lancaster,stop,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,pos_group,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
lord,1616,0.003647748485936079,8.098778026267455,4,NN,10,lord,lord,lord,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,1,0,0,1,1,0,0,1,0
good,1284,0.0028983348118452506,8.430560021896946,4,JJ,4,good,good,good,0,18,0.0,0.0,0.0,0.0,0.0,0.0,JJ,0,1,0,0,1,0,1,0,1,1,1
sir,1089,0.002458167141822023,8.668201270302344,3,NN,11,sir,sir,sir,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,0,0,1,0,0,1,1
love,891,0.0020112276614907463,8.957707887497328,4,NN,10,love,love,lov,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,1,0,1,0,0,0,1
death,526,0.0011873240740113721,9.718070519726949,5,NN,2,death,death,dea,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,1,1,1,1,0,1,0,1,1,0,-1
art,493,0.001112834160622826,9.811545672641339,3,NN,11,art,art,art,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,1,0,0,1,0,1,1,1,0,1
god,415,0.000936767092613535,10.060021982784964,3,NNP,4,god,god,god,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,1,0,1,1,0,1,0,0,1,1
fear,374,0.0008442190184035232,10.210095049131613,4,NN,6,fear,fear,fear,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,1,0,0,1,0,1,0,0,0,0,-1
true,358,0.0008081026967605917,10.273173731754994,4,JJ,3,true,true,tru,0,18,0.0,0.0,0.0,0.0,0.0,0.0,JJ,0,0,0,0,1,0,1,0,0,1,1
leave,353,0.0007968163462471756,10.29346513574807,5,VB,7,leav,leav,leav,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,0,0,0,0,1,0,1,1,0,-1
pray,333,0.0007516709441935112,10.377611141947988,4,VBP,8,pray,pray,pray,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,1,0,1,1,0,1,0,1,1,1
sweet,327,0.0007381273235774119,10.403842683521168,5,JJ,7,sweet,sweet,sweet,0,18,0.0,0.0,0.0,0.0,0.0,0.0,JJ,0,1,0,0,1,0,1,0,1,1,1
john,322,0.0007268409730639959,10.426072630904633,4,NNP,1,john,john,john,0,8,1.1699250014423124,9.359400011538499,20.928658359134698,376.71585046442453,0.0,153.26017518894292,NN,0,0,1,0,0,1,0,0,0,0,-1
noble,298,0.0006726664905995986,10.537820988557089,5,JJ,2,nobl,nobl,nobl,0,17,0.08246216019197297,1.4018567232635406,1.3652068742893304,24.57372373720795,1.4430878033595271,3.216024247486946,JJ,0,0,0,0,0,0,1,0,0,1,1
bear,275,0.0006207492782378846,10.653701700607229,4,VB,7,bear,bear,bear,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,1,0,0,1,0,0,0,0,0,0,0
peace,274,0.0006184920081352015,10.658957426058723,5,NN,4,peac,peac,peac,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,1,0,0,1,0,1,0,0,1,1
brother,254,0.0005733466060815371,10.768304822247085,7,NN,6,brother,brother,broth,0,17,0.08246216019197297,1.4018567232635406,1.163632704931174,20.945388688761135,0.9483148422076892,5.442502572670216,NN,0,0,0,0,0,0,1,0,0,1,1
young,249,0.000562060255568121,10.79698757695117,5,JJ,3,young,young,young,0,17,0.08246216019197297,1.4018567232635406,1.1407265493222927,20.53307788780127,0.9483148422076892,1.9790918446073513,JJ,0,1,0,0,1,0,1,0,1,0,1
die,243,0.0005485166349520217,10.832177005413469,3,VB,9,die,die,die,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,0,0,1,0,1,0,1,0,0,-1
word,234,0.0005282012040278728,10.886624789435846,4,NN,1,word,word,word,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,0,0,1,0,0,1,1
mother,226,0.000510143043206407,10.936810546604063,6,NN,7,mother,mother,moth,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,1,0,0,1,1,1,1,0,1,0
gentleman,220,0.0004965994225903077,10.97562979549459,9,NN,3,gentleman,gentleman,gentlem,0,16,0.16992500144231237,2.718800023076998,2.076861128739373,37.383500317308716,1.1894750100961866,8.836100075000243,NN,0,0,0,0,0,0,1,0,0,1,1
fool,217,0.0004898276122822581,10.99543827657477,4,NN,6,fool,fool,fool,0,17,0.08246216019197297,1.4018567232635406,0.9941271534254521,17.89428876165814,0.49477296115183783,9.648072742460839,NN,0,0,1,0,0,1,0,0,0,0,-1
words,212,0.000478541261768842,11.029069054456052,5,NNS,1,word,word,word,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,1,0,0,0,0,1,0,0,0,0,-1
faith,211,0.0004762839916661588,11.035890320312065,5,NN,8,faith,faith,fai,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,1,0,0,1,0,1,0,0,1,1
friend,209,0.00047176945146079234,11.049630376938367,6,NN,6,friend,friend,friend,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,1,0,1,0,0,1,1
fortune,205,0.0004627403710500595,11.077509409513803,7,NN,7,fortun,fortun,fortun,0,17,0.08246216019197297,1.4018567232635406,0.9391523799641366,16.90474283935446,0.7421594417277567,2.2264783251832703,NN,0,1,0,0,1,0,1,0,1,1,1
boy,180,0.00040630861848297905,11.265136412689575,3,NN,8,boy,boy,boy,0,16,0.16992500144231237,2.718800023076998,1.6992500144231237,30.586500259616226,1.6142875137019677,4.7579000403847465,NN,0,0,1,0,0,1,0,0,0,0,-1
soldier,179,0.00040405134838029585,11.273173731754994,7,NNP,5,soldier,soldier,soldy,0,16,0.16992500144231237,2.718800023076998,1.6898097365652174,30.416575258173914,0.7646625064904057,9.855650083654117,NN,1,0,0,0,0,0,1,1,0,0,1
hope,176,0.0003972795380722462,11.297557890381952,4,VBP,5,hope,hope,hop,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,1,0,0,1,0,1,0,1,1,1
fall,168,0.0003792213772507804,11.36467208624049,4,NN,8,fall,fall,fal,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,0,1,0,1,0,0,-1
fight,168,0.0003792213772507804,11.36467208624049,5,NN,9,fight,fight,fight,0,17,0.08246216019197297,1.4018567232635406,0.7696468284584144,13.853642912251459,0.45354188105585136,2.473864805759189,NN,1,0,0,1,0,1,0,0,0,0,-1
daughter,167,0.00037696410714809723,11.373285216545199,8,NN,2,daughter,daughter,daught,0,16,0.16992500144231237,2.718800023076998,1.5765264022703425,28.377475240866165,1.274437510817343,4.927825041827059,NN,0,0,0,0,1,0,1,0,0,0,1
marry,162,0.00036567775663468114,11.417139506134626,5,NNP,4,marri,marri,marry,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,1,0,1,1,0,1,0,1,1,1
bastard,158,0.0003566486762239483,11.453208760842147,7,NN,6,bastard,bastard,bastard,0,10,0.8479969065549501,8.4799690655495,7.443528401982339,133.9835112356821,0.8479969065549501,94.12765662759946,NN,0,0,1,0,0,1,0,1,0,0,-1
majesty,156,0.00035213413601858186,11.471587290157002,7,NN,5,majesti,majesti,majesty,0,13,0.4694852833012202,6.103308682915863,4.068872455277241,73.23970419499034,3.5211396247591513,12.676102649132945,NN,0,0,0,0,0,0,1,0,0,1,1
nurse,155,0.0003498768659158986,11.480865103745012,5,NN,4,nurs,nurs,nurs,0,8,1.1699250014423124,9.359400011538499,10.074354179086578,181.33837522355842,0.0,170.8090502105776,NN,0,0,0,0,0,0,1,0,0,1,1
lie,155,0.0003498768659158986,11.480865103745012,3,NN,11,lie,lie,lie,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,1,0,1,0,0,1,0,1,0,0,-1
lost,155,0.0003498768659158986,11.480865103745012,4,VBN,5,lost,lost,lost,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,0,0,0,0,1,0,1,0,0,-1
honest,154,0.0003476195958132154,11.490202968324349,6,JJS,8,honest,honest,honest,0,16,0.16992500144231237,2.718800023076998,1.4538027901175612,26.168450222116103,1.0195500086538742,7.136850060577119,JJ,1,0,1,1,1,0,1,1,0,1,1
fellow,153,0.0003453623257105322,11.499601666326598,6,NN,5,fellow,fellow,fellow,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,0,0,1,0,0,1,1
truth,151,0.00034084778550516577,11.518584769694172,5,NN,5,truth,truth,tru,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,0,0,1,0,0,1,1
shame,151,0.00034084778550516577,11.518584769694172,5,NN,7,shame,shame,sham,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,1,1,0,1,0,1,0,0,-1
villain,148,0.0003340759751971161,11.5475361433903,7,NN,3,villain,villain,villain,0,17,0.08246216019197297,1.4018567232635406,0.6780222060228889,12.204399708412,0.5360040412478243,1.5667810436474865,NN,0,0,0,1,0,1,0,0,0,0,-1
kill,147,0.00033181870509443287,11.557317164182885,4,VB,9,kill,kill,kil,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,0,0,1,0,1,0,1,0,0,-1
