doc_a,doc_b,cityblock,euclidean,cosine,jaccard,dice,js
0,1,18375.713017760467,1435.5591681418489,0.942508300110471,0.7614132592298531,0.6147435897435898,0.7296199333941976
0,2,22164.55483578732,1638.030822307258,0.997230211252288,0.7445069911022335,0.5929997107318484,0.7265253700441517
0,3,18111.01490168694,2024.546785860359,0.9989802630886967,0.7571733459805549,0.609234878839916,0.752253310066751
0,4,21012.492956872215,1356.9107200786218,0.9973179409173756,0.7677128359330953,0.6229983224035383,0.743660862297887
0,5,20708.71006251774,1286.3073200808885,0.9963494925130889,0.7635071976070293,0.6174780768067735,0.7381684805489471
0,6,18163.41811584604,1156.6239153268127,0.9965333908384252,0.745414673046252,0.5941522326394406,0.7331691849493822
0,7,19287.846011550497,1473.3992003739654,0.9973863952395023,0.7429945629443747,0.5910830144734653,0.7352048788683018
0,8,21086.907864571556,1327.2243679330022,0.9968137034450103,0.7589481373265157,0.6115361977633902,0.7368764914881804
0,9,22288.941099785097,1279.5702935623422,0.9959315372091708,0.7693965517241379,0.6252189141856392,0.7427416082427665
0,10,20552.12315515194,1367.944212408772,0.9971748814315098,0.7565557729941291,0.6084356310985206,0.7403576379328248
0,11,23050.194229257755,1746.1120832756287,0.9953870222511615,0.7632495873830919,0.617141162514828,0.7430226651015208
0,12,24831.701802168893,2439.2712009633647,0.9980978857916952,0.757434789832198,0.6095734723893569,0.7283915511421529
0,13,18755.15955991306,1522.822499860363,0.9984748426393515,0.7492253209384684,0.599009024951336,0.7482569984396001
0,14,22000.340317369526,1733.605501194827,0.9977098438019061,0.7533478103510677,0.6042967048918566,0.732117040987722
0,15,18667.781859865267,1657.1705011484821,0.9982821120414636,0.7612365263371975,0.6145132162206535,0.7415928282319229
0,16,23261.341519135338,2736.5969812383764,0.998900321961669,0.75199847735059,0.6025621473234711,0.7380184919565941
0,17,20906.296958540464,2010.5311792078048,0.9966197456660998,0.7272907576358588,0.5714508337229235,0.7187363156032062
1,2,21463.15195514127,1763.1831583116193,0.9964664557976127,0.7047085594258709,0.544054054054054,0.6887219854801557
1,3,18217.890958643664,2127.934715857356,0.999104814644379,0.758777633289987,0.6113148245154532,0.7380152794755633
1,4,20558.473148366087,1495.8852512402448,0.9830967000112248,0.7427704391288825,0.5907993752662217,0.7145310679221771
1,5,20644.606459926705,1443.1195543562958,0.9962411361011162,0.7517580872011251,0.6022535211267606,0.7179832052660718
1,6,18084.09072647773,1327.8373194323253,0.9944731867686171,0.7331339936460475,0.5786989231450066,0.7116848181520158
1,7,19080.019459631367,1611.334202586869,0.9962973110185168,0.7220692368214005,0.5650300138525474,0.709837917807238
1,8,20689.161550765715,1478.9470322056088,0.9956267413799696,0.7337854286211094,0.5795111233177699,0.7091768554860876
1,9,21950.056042444132,1436.5103000451322,0.9950183592178397,0.7456410256410256,0.5944399018806215,0.7177038235610683
1,10,20435.896088972586,1515.5435059303609,0.9959523502203504,0.7467936973250274,0.595906432748538,0.7206060679932592
1,11,22455.79219319622,1865.3113000278017,0.996491974263111,0.7286794443467558,0.5731673582295989,0.7103844467349395
1,12,24077.755181270317,2521.9850160315113,0.9947164454628874,0.7268222506393862,0.570872567482737,0.6957196786584482
1,13,18649.288996554722,1657.4050283236445,0.9981833724790188,0.7364628371422689,0.5828580739775134,0.7301926696694179
1,14,21313.66419791821,1852.0533396436304,0.9966722150044773,0.7162750217580505,0.5579661016949152,0.6943339247212525
1,15,18336.54511165941,1781.5383756120643,0.9979864072671909,0.7351923076923077,0.581268055344382,0.7154097919042518
1,16,22526.738597052437,2812.350553320943,0.9975331591688302,0.7086541987532087,0.5487718301860003,0.700590092517109
1,17,21283.03806046974,2114.0877532695135,0.9966340962182829,0.7375640087783467,0.5842387367811097,0.7168603248460876
2,3,21795.13902237836,2243.5126234254817,0.99904304569106,0.7536993769470405,0.6047492579284487,0.7323033810045397
2,4,24044.166585052328,1665.0542454087367,0.9964149626791975,0.7242519424698297,0.5677076584164831,0.7114389335636393
2,5,24090.813653413654,1608.6152190141509,0.9963278309396307,0.7375771354335824,0.5842552096732698,0.7133535040375883
2,6,21400.48896985437,1506.595092664549,0.995570056492839,0.7112225488500779,0.5518583120890916,0.7027182040972229
2,7,22587.998573723355,1761.4393377011427,0.9968810220355119,0.7151048199247446,0.5565472040161763,0.7068085823687068
2,8,24218.21752125878,1641.183272751606,0.9962883265863801,0.725,0.5686274509803921,0.7079740172882396
2,9,25303.773868357326,1602.6506642054653,0.9952329518152288,0.7256243041196119,0.5693959061407888,0.7107045528242922
2,10,23825.505239514536,1673.5920113040445,0.9957623020083259,0.7305288055414766,0.5754591429331913,0.7130382747421188
2,11,25568.206873314055,1994.0826751669256,0.9947062817656204,0.7068062827225131,0.5465587044534413,0.6991356265460302
2,12,27522.509137786674,2622.5247470209088,0.997331823645441,0.7100194116768702,0.5504109271906471,0.6939718391696419
2,13,21598.899091012936,1791.7060822750564,0.9851827206267331,0.7226181545386346,0.5657025400088093,0.7121381396393148
2,14,24359.809284025967,1983.2661192980295,0.9964243446785059,0.6856629653821033,0.5216797117654367,0.6844083011156605
2,15,21623.787345776338,1917.8516597999421,0.9977697899915947,0.7084075525472034,0.5484760722658943,0.7011901379031946
2,16,26097.677105182574,2901.3207430396187,0.9982162211013057,0.7043317662860981,0.5436050278605675,0.7002679228816951
2,17,24478.391631772818,2231.4809412799505,0.9979643490235267,0.7127081209650017,0.5536492015309489,0.7053884451243809
3,4,20293.77222023553,2046.4676515812773,0.9983119176951779,0.7579120427455815,0.6101919258769027,0.7415460438370889
3,5,20298.39674553675,2001.0627799969382,0.9986685569711089,0.7687184661957619,0.6243238813309293,0.742921514430882
3,6,17671.394731591346,1919.9390131488324,0.9984129174252784,0.7472908539228436,0.5965397923875433,0.736627436684243
3,7,18650.034088452812,2125.076651245247,0.9979529009559559,0.7375430539609644,0.5842124408875955,0.7310458557153681
3,8,20615.344147818014,2027.2547135227012,0.9984536930072282,0.7656188605108055,0.6202451058411587,0.7392999150162934
3,9,21625.15444353022,1996.3461586522546,0.9979582529043222,0.7623975009761812,0.6160277646316453,0.7402037578274522
3,10,19963.276478978158,2054.0606136353417,0.9985398842070777,0.7543186180422264,0.6055469953775039,0.7408676868840687
3,11,22744.300778129404,2325.081372832207,0.9993366788913179,0.774390243902439,0.6318407960199005,0.7509311336925566
3,12,24587.92909843209,2881.095830535276,0.99935670855495,0.7696926880960792,0.6256101062302613,0.737612497690027
3,13,18187.166953635577,2160.4772164658684,0.9993962175462852,0.7498783454987834,0.5998442973919813,0.753261659903798
3,14,21611.77862191492,2313.971099438422,0.9990396786562954,0.7638619620007755,0.6179422835633626,0.7356612388616138
3,15,18261.93709854866,2257.292238812731,0.9993701750262333,0.7724471830985915,0.6292577984940839,0.7510647658506251
3,16,22704.920831707896,3134.937048316193,0.9984546664863755,0.7550978372811534,0.6065519523494375,0.7370289816669396
3,17,20697.125067067525,2528.360920835763,0.9986319186688366,0.7414197399275207,0.5890921409214093,0.7307565652998279
4,5,22114.234677937297,1306.658065840411,0.9741406005314085,0.7401053167997282,0.587434272616961,0.7070522634802746
4,6,19062.120865927816,1172.186655335338,0.9553350191035029,0.7130939426913312,0.5541149943630215,0.6867194054602117
4,7,21561.4256611228,1503.9160242278947,0.9971033363268658,0.7418759231905465,0.5896683299090109,0.7301986022340008
4,8,22387.686350565724,1345.5956852479392,0.9739909579818781,0.7366583541147133,0.5831030398736676,0.7103203729609828
4,9,19965.123837126175,1130.0322111595376,0.733877234191484,0.6835769561478934,0.519268451992162,0.6391464917433486
4,10,19358.12300278698,1274.1031350340975,0.8247039916466932,0.6819521178637201,0.5173955567975409,0.6480874526423511
4,11,25010.10498097798,1773.4899620450346,0.9971853224034585,0.7459288800265869,0.5948058831323705,0.7289161951056026
4,12,26846.02646009384,2457.375024344022,0.9974848660006109,0.7451515151515151,0.5938179183772035,0.717934759454442
4,13,20720.861825465843,1551.5103052460784,0.9970353094953942,0.7387140902872777,0.5856832971800434,0.7294878518476844
4,14,23539.92941436028,1728.1867881356225,0.95939041847509,0.7357001972386588,0.5819032761310452,0.7082456416404911
4,15,20689.972124884265,1684.04967009375,0.9976348367766175,0.7456331877729258,0.5944299390774587,0.7245850486148613
4,16,25345.164935816825,2752.9653836382035,0.9985740330530785,0.7382136122064118,0.585054347826087,0.7274603140494752
4,17,23388.90289221729,2033.3173228307094,0.9968880176510662,0.7406244549101691,0.5880886426592797,0.722358177004912
5,6,19557.127421116034,1105.0424700024457,0.9773412705479131,0.7199355762347889,0.5624213616664336,0.6983847595024065
5,7,21246.696384684667,1440.4725588432666,0.9961397061508843,0.7327554407967539,0.5782273322660457,0.7198338127581534
5,8,19107.20723223614,781.8818000586388,0.3640335483118693,0.7056635672020287,0.5451933124346917,0.6506943874005815
5,9,23088.18541159585,1224.7528353816597,0.9676037428122806,0.730952772749712,0.5759854771784232,0.698476446008531
5,10,21588.771983034407,1312.8588394071824,0.9665320410706606,0.7290345313601128,0.5736068755198226,0.7011561244221256
5,11,24924.293229886745,1720.8906000262803,0.9975236513270926,0.7464556544675239,0.5954760652288269,0.7274217723170643
5,12,26661.242473061706,2419.4924411460834,0.9973945329773971,0.7443156151182051,0.5927569252908023,0.7154163256990378
5,13,20666.708618732588,1491.3345021121572,0.9978341489656793,0.7435353145503667,0.5917677776071264,0.7297598351330867
5,14,23730.8304438026,1704.5812811876958,0.9952352558510779,0.7358890701468189,0.5821396309201188,0.7122794732834202
5,15,20657.54832672903,1627.868242544495,0.9971405248650757,0.7567519227329637,0.6086893972090347,0.7279703457042142
5,16,24960.439446729986,2718.693558581628,0.9979726191069634,0.7358104653144708,0.5820412565727383,0.719036938370873
5,17,23118.51295569591,1987.003144433582,0.9963220792925848,0.7344347826086957,0.5803215610828638,0.7146012390365591
6,7,18715.796275505894,1325.9353007502418,0.9960026906483946,0.717948717948718,0.56,0.7166633789799981
6,8,19802.341494031625,1142.8647953129494,0.9620340101028184,0.7210113339145597,0.5637355146557601,0.7008220224869244
6,9,20243.845188859257,1068.658689254453,0.9248285766885359,0.7192860856004158,0.561629008253281,0.6874274819278714
6,10,19090.15697169154,1193.5992882784567,0.9708708023997003,0.7127917833800187,0.5537501813433918,0.6921120111591882
6,11,22378.01485843754,1625.7447010813978,0.9967923951036467,0.7404012452438603,0.5878072222985034,0.7241599290512375
6,12,23994.104316635417,2352.34647069932,0.9959748214077159,0.7283108643933386,0.5727113993514592,0.7056864931929848
6,13,18041.737473965237,1378.9136323036328,0.9946004623628756,0.7234481336358012,0.5667205169628433,0.7252003754568628
6,14,21284.631062692733,1608.6346292671628,0.9940864736793802,0.7269922879177377,0.5710823909531503,0.7070114926846198
6,15,17970.757279601396,1527.3007833465367,0.9968909442131233,0.7313432835820896,0.5764705882352941,0.7175576254244092
6,16,22620.260576850684,2660.1672121966812,0.9984023113638509,0.718902328940242,0.5611612175873731,0.7180525052316675
6,17,20539.91159000801,1905.464790003823,0.9956566952855839,0.7151828592537864,0.5566417481311098,0.7070938390134395
7,8,21556.616179442408,1477.1613261433456,0.9966237524945091,0.7303330333033303,0.5752162200482064,0.716921519623179
7,9,22793.177005149115,1434.2773859643432,0.9955249040549488,0.7437709842728397,0.5920663947109298,0.7279233064126632
7,10,21167.592796647525,1514.122558139677,0.9973206965166981,0.7373949579831933,0.5840266222961731,0.7296540369552272
7,11,23685.00940266136,1865.0379334888448,0.9983902950016086,0.7392400504231946,0.5863448078845879,0.7311602292919741
7,12,25400.898592722766,2524.095053982779,0.998223081003311,0.7365670422995264,0.5829886246122027,0.716026177583318
